informaticien,informaticienLabel,date_de_naissance,sexe_ou_genre,sexe_ou_genreLabel,lieu_de_naissance,lieu_de_naissanceLabel
http://www.wikidata.org/entity/Q92702,Vijay Vazirani,1957-04-20T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92703,Frieder Nake,1938-12-16T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92704,Charles Colbourn,1953-10-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q92705,Ipke Wachsmuth,1950-03-27T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92706,Christoph Meinel,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92707,Michael Loceff,1952-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92708,Michael Kölling,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
http://www.wikidata.org/entity/Q92709,Luca Trevisan,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q38,Italie
http://www.wikidata.org/entity/Q92710,Heinz Rutishauser,1918-01-30T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q39,Suisse
http://www.wikidata.org/entity/Q92711,Nick Pippenger,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92712,David C. Evans,1924-02-24T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92713,Alan Ashton,1942-05-07T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92714,David Haussler,1953-10-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q92715,Phil Moorby,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q92716,Bernhard Nebel,1956-05-06T00:00:00Z,http://www.wikidata.org/entity/Q6581097,masculin,http://www.wikidata.org/entity/Q183,Allemagne
